trade_date,open0,high0,low0,close0,vol0,open1,high1,close1,low1,vol1,open2,high2,close2,low2,vol
20180926,91.9444,92.5763,90.0486,91.4178,181994.67,2785.32,2827.34,2806.81,2783.34,1395677,8369.52,8485.68,8420.54,8344.72,182897168
20180927,91.4178,91.5231,87.7316,88.4688,131869.35,2805.79,2810.51,2791.77,2786.32,1239977,8411.18,8434.87,8334.75,8331.78,191355632
20180928,88.4688,89.206,87.5209,88.9954,94423.2,2794.26,2821.76,2821.35,2791.84,1342904.5,8351.63,8405.98,8401.09,8317.48,155515376
20181008,87.8369,88.0475,83.2028,83.5188,140288,2768.21,2771.94,2716.51,2710.18,1495013.88,8225.84,8249.39,8060.83,8055.98,164590320
20181009,84.0454,84.7826,81.4124,82.2549,124170.98,2713.73,2734.31,2721.01,2711.2,1167719,8083.23,8132.15,8046.39,8013.19,134621904
20181010,82.6762,83.5188,81.5177,83.4134,81117.69,2723.72,2743.55,2725.84,2703.06,1134857.38,8062.46,8090.22,8010.69,7952.13,139300400
20181011,82.1496,82.1496,75.6198,76.673,166221.34,2643.07,2661.29,2583.46,2560.32,1971507,7753.03,7803.29,7524.09,7481.89,234967632
20181012,76.673,77.3049,72.2495,76.673,134321.45,2574.04,2615.92,2606.91,2536.67,1700816.38,7484.86,7595.93,7558.28,7331.81,210084272
20181015,76.7783,77.6208,74.8825,75.1985,94771.51,2605.91,2611.97,2568.1,2564.74,1185762,7571.71,7622.03,7444.48,7430.96,157507888
20181016,75.6198,76.7783,73.1974,73.724,105208.5,2567.76,2597.72,2546.33,2536.44,1194191.5,7444.94,7493.15,7298.98,7263.29,157665056
20181017,75.0932,75.8304,71.091,73.9346,107579.38,2574.31,2582.55,2561.61,2517.57,1299540,7390.69,7419.21,7365.21,7206.34,171300144
20181018,72.8814,72.8814,69.5112,69.9325,98186.3,2544.91,2544.91,2486.42,2485.62,1254285.12,7309,7316.19,7187.49,7182.39,162453344
20181019,68.3527,71.6176,68.0367,70.9857,152440.74,2460.08,2553.39,2550.47,2449.2,1473235.62,7097.04,7390.92,7387.74,7084.44,184794336
20181022,71.8282,77.9368,71.8282,77.8315,217571.79,2565.64,2675.41,2654.88,2565.64,2118884.5,7464.92,7816.82,7748.82,7464.92,257882928
20181023,77.9368,78.8847,75.6198,75.9357,128563.9,2652.65,2659.81,2594.83,2583.26,1783435.38,7752.18,7769.52,7574.99,7523.07,221267184
20181024,75.8304,76.8836,74.7772,75.6198,79084.72,2579.97,2640.4,2603.3,2577.77,1600604.12,7531.6,7653.24,7545.11,7484.63,183170096
